nonstandard,standard,explanation,manuscript,code_verse,byz_verse_text
ανδραιαν,ανδρεαν,"nonstandard αι, standard ε",,,
ανδραιας,ανδρεας,"nonstandard αι, standard ε",,,
ανδραιου,ανδρεου,"nonstandard αι, standard ε",,,
ανδραις,ανδρες,"nonstandard αι, standard ε",,,
ανδρασειν,ανδρασιν,"nonstandard ει, standard ι",,,
ανδρει,ανδρι,"nonstandard ει, standard ι",,,
ανδρονεικον,ανδρονικον,"nonstandard ει, standard ι",,,
ανεβαινωμεν,ανεβαινομεν,ο and ω,,,
ανεβαινων,ανεβαινον,ο and ω,,,
ανεβαλλετο,ανεβαλετο,λ gemination,,,
ανεβιν,ανεβην,η and ι,,,
ανεβισαν,ανεβησαν,η and ι,,,
ανεβωησεν,ανεβοησεν,ο and ω,,,
ανεγεινωσκεν,ανεγινωσκεν,"nonstandard ει, standard ι",,,
ανεγνωται,ανεγνωτε,"nonstandard αι, standard ε",,,
ανεδιξεν,ανεδειξεν,"nonstandard ι, standard ει",,,
ανεθετω,ανεθετο,ο and ω,,,
ανειλεται,ανειλετε,"nonstandard αι, standard ε",,,
ανειλετω,ανειλετο,ο and ω,,,
ανειπτοις,ανιπτοις,"standard ι, nonstandard ει",,,
ανεκαθεισεν,ανεκαθισεν,"nonstandard ει, standard ι",,,
ανεκειτω,ανεκειτο,ο and ω,,,
ανεκιτο,ανεκειτο,"nonstandard ι, standard ει",,,
ανεκλειναν,ανεκλιναν,"nonstandard ει, standard ι",,,
ανεκλεινεν,ανεκλινεν,"nonstandard ει, standard ι",,,
ανεκλιπτον,ανεκλειπτον,"nonstandard ι, standard ει",,,
ανεκτοτερων,ανεκτοτερον,ο and ω,,,
ανεκτωτερον,ανεκτοτερον,ο and ω,,,
ανελαβεται,ανελαβετε,"nonstandard αι, standard ε",,,
ανελιν,ανελειν,"nonstandard ι, standard ει",,,
ανελιφθη,ανεληφθη,η and ι,,,
ανεμνησθι,ανεμνησθη,η and ι,,,
ανεμων,ανεμον,ο and ω,,,
ανεμως,ανεμος,ο and ω,,,
ανεξωμαι,ανεξομαι,ο and ω,,,
ανεπεσων,ανεπεσον,ο and ω,,,
ανεσισαν,ανεσεισαν,"nonstandard ι, standard ει",,,
ανεστι,ανεστη,η and ι,,,
ανεστισαν,ανεστησαν,η and ι,,,
ανεστισεν,ανεστησεν,η and ι,,,
ανεταζιν,ανεταζειν,"nonstandard ι, standard ει",,,
ανετιλεν,ανετειλεν,"nonstandard ι, standard ει",,,
ανευρονταις,ανευροντες,"nonstandard αι, standard ε",,,
ανεφανισαν,ανεφανησαν,η and ι,,,
ανεχεσθαι,ανεχεσθε,"nonstandard αι, standard ε",,,
ανεχωρισαν,ανεχωρησαν,η and ι,,,
ανεχωρισεν,ανεχωρησεν,η and ι,,,
ανεωγωτα,ανεωγοτα,ο and ω,,,
ανηγαγων,ανηγαγον,ο and ω,,,
ανηγγελλη,ανηγγελη,λ gemination,,,
ανηγγιλαν,ανηγγειλαν,"nonstandard ι, standard ει",,,
ανηγγιλεν,ανηγγειλεν,"nonstandard ι, standard ει",,,
ανηραιθη,ανηρεθη,"nonstandard αι, standard ε",,,
ανθειστατο,ανθιστατο,"standard ι, nonstandard ει",,,
ανθρωπεινη,ανθρωπινη,"nonstandard ει, standard ι",,,
ανθρωπων,ανθρωπον,ο and ω,,,
ανθρωπως,ανθρωπος,ο and ω,,,
ανθυπατευωντος,ανθυπατευοντος,ο and ω,,,
ανθωμολογειτω,ανθωμολογειτο,ο and ω,,,
ανθωμολογιτο,ανθωμολογειτο,"nonstandard ι, standard ει",,,
ανιθον,ανηθον,η and ι,,,
ανιλεν,ανειλεν,"nonstandard ι, standard ει",,,
ανιπτεις,ανιπτοις,"standard ι, nonstandard ει",,,
ανιχθη,ανηχθη,η and ι,,,
ανιχθημεν,ανηχθημεν,η and ι,,,
ανοιγιν,ανοιγειν,"standard ει, nonstandard ι",,,
ανοιγισεται,ανοιγησεται,η and ι,,,
ανοικοδομισω,ανοικοδομησω,η and ι,,,
ανοικοδωμησω,ανοικοδομησω,ο and ω,,,
ανοικωδομησω,ανοικοδομησω,ο and ω,,,
ανομειαν,ανομιαν,"standard ι, nonstandard ει",,,
ανομειας,ανομιας,"standard ι, nonstandard ει",,,
ανταποκρεινομενος,ανταποκρινομενος,"nonstandard ει, standard ι",,,
αντειλαμβανεσθαι,αντιλαμβανεσθαι,"nonstandard ει, standard ι",,,
αντειοχειαν,αντιοχειαν,"standard ι, nonstandard ει",,,
αντειπας,αντιπας,"nonstandard ει, standard ι",,,
αντειπιν,αντειπειν,"standard ει, nonstandard ι",,,
αντελεγων,αντελεγον,ο and ω,,,
αντιβαλλεται,αντιβαλλετε,"nonstandard αι, standard ε",,,
αντιδεικος,αντιδικος,"standard ι, nonstandard ει",,,
αντιδικως,αντιδικος,ο and ω,,,
αντικαλεσωσιν,αντικαλεσωσι,movable ν,,,
αντικιμενοι,αντικειμενοι,"standard ει, nonstandard ι",,,
αντιλεγωντες,αντιλεγοντες,ο and ω,,,
αντιλεγωντων,αντιλεγοντων,ο and ω,,,
αντιλογεια,αντιλογια,"nonstandard ει, standard ι",,,
αντιμετριθησεται,αντιμετρηθησεται,η and ι,,,
αντιμισθειαν,αντιμισθιαν,"nonstandard ει, standard ι",,,
αντιοχια,αντιοχεια,"standard ει, nonstandard ι",,,
αντιοχιαν,αντιοχειαν,"standard ει, nonstandard ι",,,
αντιοχιας,αντιοχειας,"standard ει, nonstandard ι",,,
αντιπειν,αντειπειν,"standard ει, nonstandard ι",,,
αντιπειπτετε,αντιπιπτετε,"nonstandard ει, standard ι",,,
αντιπιπτεται,αντιπιπτετε,"nonstandard αι, standard ε",,,
αντιτασσωμενων,αντιτασσομενων,ο and ω,,,
αντιχρειστοι,αντιχριστοι,"nonstandard ει, standard ι",,,
αντιχρειστος,αντιχριστος,"nonstandard ει, standard ι",,,
αντιχρειστου,αντιχριστου,"nonstandard ει, standard ι",,,
αντιωχεα,αντιοχεα,ο and ω,,,
αντιωχεια,αντιοχεια,ο and ω,,,
αντιωχειαν,αντιοχειαν,ο and ω,,,
αντιωχειας,αντιοχειας,ο and ω,,,
αντλησαται,αντλησατε,"nonstandard αι, standard ε",,,
αντοφθαλμιν,αντοφθαλμειν,"nonstandard ι, standard ει",,,
αντωφθαλμειν,αντοφθαλμειν,ο and ω,,,
ανωγαιον,ανωγεον,"nonstandard αι, standard ε",,,
ανωγεων,ανωγεον,ο and ω,,,
ανωρθωσω,ανορθωσω,ο and ω,,,
ανωφελις,ανωφελεις,"nonstandard ι, standard ει",,,
αξεια,αξια,"nonstandard ει, standard ι",,,
αξεινη,αξινη,"nonstandard ει, standard ι",,,
αξειους,αξιους,"nonstandard ει, standard ι",,,
αξιως,αξιος,ο and ω,,,
απαγαγεται,απαγαγετε,"nonstandard αι, standard ε",,,
απαγγειλαται,απαγγειλατε,"nonstandard αι, standard ε",,,
απαγγελλει,απαγγελει,λ gemination,,,
απαγγιλαι,απαγγειλαι,"standard ει, nonstandard ι",,,
απαγγιλατε,απαγγειλατε,"nonstandard ι, standard ει",,,
απαιλυσεν,απελυσεν,"nonstandard αι, standard ε",,,
απαλλος,απαλος,λ gemination,,,
απανταις,απαντες,"nonstandard αι, standard ε",,,
απαντησι,απαντησει,"nonstandard ι, standard ει",,,
απαντισαι,απαντησαι,η and ι,,,
απαντισει,απαντησει,η and ι,,,
απαντισιν,απαντησιν,η and ι,,,
απαρνησι,απαρνηση,η and ι,,,
απαρνισασθω,απαρνησασθω,η and ι,,,
απαρνιση,απαρνηση,η and ι,,,
απαρνισωμαι,απαρνησωμαι,η and ι,,,
απατι,απατη,η and ι,,,
απεδεχετω,απεδεχετο,ο and ω,,,
απεδημισεν,απεδημησεν,η and ι,,,
απεδιμησεν,απεδημησεν,η and ι,,,
απεδιξεν,απεδειξεν,"nonstandard ι, standard ει",,,
απεδοκειμασαν,απεδοκιμασαν,"nonstandard ει, standard ι",,,
απεδοντω,απεδοντο,ο and ω,,,
απεδοσθαι,απεδοσθε,"nonstandard αι, standard ε",,,
απεδωκιμασαν,απεδοκιμασαν,ο and ω,,,
απεδωσθε,απεδοσθε,ο and ω,,,
απεθανων,απεθανον,ο and ω,,,
απεθεντω,απεθεντο,ο and ω,,,
απειδω,απιδω,"nonstandard ει, standard ι",,,
απειθουσειν,απειθουσιν,"standard ι, nonstandard ει",,,
απειλησωμεθα,απειλησομεθα,ο and ω,,,
απειμει,απειμι,"standard ι, nonstandard ει",,,
απειστιαν,απιστιαν,"nonstandard ει, standard ι",,,
απεκεφαλεισα,απεκεφαλισα,"nonstandard ει, standard ι",,,
απεκρειθη,απεκριθη,"standard ι, nonstandard ει",,,
απεκρεινατο,απεκρινατο,"nonstandard ει, standard ι",,,
απεκριθι,απεκριθη,η and ι,,,
απεκριθιν,απεκριθην,η and ι,,,
απεκριθισαν,απεκριθησαν,η and ι,,,
απεκρινατω,απεκρινατο,ο and ω,,,
απεκτειναται,απεκτεινατε,"nonstandard αι, standard ε",,,
απεκτιναν,απεκτειναν,"nonstandard ι, standard ει",,,
απεκτινατε,απεκτεινατε,"nonstandard ι, standard ει",,,
απεκτινεν,απεκτεινεν,"nonstandard ι, standard ει",,,
απελεγμων,απελεγμον,ο and ω,,,
απελειπον,απελιπον,"nonstandard ει, standard ι",,,
απεληλυθισαν,απεληλυθεισαν,"nonstandard ι, standard ει",,,
απελθηται,απελθητε,"nonstandard αι, standard ε",,,
απελθιν,απελθειν,"nonstandard ι, standard ει",,,
απελθονταις,απελθοντες,"nonstandard αι, standard ε",,,
απελθωντες,απελθοντες,ο and ω,,,
απελιχον,απελειχον,"standard ει, nonstandard ι",,,
απελογειτω,απελογειτο,ο and ω,,,
απελογιτο,απελογειτο,"nonstandard ι, standard ει",,,
απελυοντω,απελυοντο,ο and ω,,,
απελυωντο,απελυοντο,ο and ω,,,
απενεγκιν,απενεγκειν,"nonstandard ι, standard ει",,,
απεπεσων,απεπεσον,ο and ω,,,
απεριτμιτοι,απεριτμητοι,η and ι,,,
απεσταλκαται,απεσταλκατε,"nonstandard αι, standard ε",,,
απεστι,απεστη,η and ι,,,
απεστιλα,απεστειλα,"nonstandard ι, standard ει",,,
απεστιλαν,απεστειλαν,"nonstandard ι, standard ει",,,
απεστιλας,απεστειλας,"nonstandard ι, standard ει",,,
απεστιλεν,απεστειλεν,"nonstandard ι, standard ει",,,
απεστισαν,απεστησαν,η and ι,,,
απεφθεγξατω,απεφθεγξατο,ο and ω,,,
απεχεσθαι,απεχεσθε,"nonstandard αι, standard ε",,,
απεχεται,απεχετε,"nonstandard αι, standard ε",,,
απεχι,απεχει,"nonstandard ι, standard ει",,,
απηγαγων,απηγαγον,ο and ω,,,
απηγγιλαν,απηγγειλαν,"nonstandard ι, standard ει",,,
απηγγιλεν,απηγγειλεν,"nonstandard ι, standard ει",,,
απηγξατω,απηγξατο,ο and ω,,,
απηλθων,απηλθον,ο and ω,,,
απηντησαιν,απηντησεν,"nonstandard αι, standard ε",,,
απηντισεν,απηντησεν,η and ι,,,
απιγαγον,απηγαγον,η and ι,,,
απιγγειλαν,απηγγειλαν,η and ι,,,
απιγγειλεν,απηγγειλεν,η and ι,,,
απιγξατο,απηγξατο,η and ι,,,
απιεσαν,απηεσαν,η and ι,,,
απιθεια,απειθεια,"standard ει, nonstandard ι",,,
απιθειαν,απειθειαν,"standard ει, nonstandard ι",,,
απιθειας,απειθειας,"standard ει, nonstandard ι",,,
απιθεις,απειθεις,"standard ει, nonstandard ι",,,
απιθης,απειθης,"nonstandard ι, standard ει",,,
απιθησασιν,απειθησασιν,"standard ει, nonstandard ι",,,
απιθιαν,απειθειαν,"nonstandard ι, standard ει",,,
απιθιας,απειθειας,"nonstandard ι, standard ει",,,
απιθουντα,απειθουντα,"nonstandard ι, standard ει",,,
απιθουντες,απειθουντες,"nonstandard ι, standard ει",,,
απιθουντων,απειθουντων,"nonstandard ι, standard ει",,,
απιθουσιν,απειθουσιν,"standard ει, nonstandard ι",,,
απιθων,απειθων,"nonstandard ι, standard ει",,,
απιλας,απειλας,"nonstandard ι, standard ει",,,
απιλη,απειλη,"nonstandard ι, standard ει",,,
απιλην,απειλην,"nonstandard ι, standard ει",,,
απιλης,απειλης,"nonstandard ι, standard ει",,,
απιλησομεθα,απειλησομεθα,"nonstandard ι, standard ει",,,
απινεγκαν,απηνεγκαν,η and ι,,,
απιστεια,απιστια,"nonstandard ει, standard ι",,,
απιστειαν,απιστιαν,"nonstandard ει, standard ι",,,
απιστειας,απιστιας,"nonstandard ει, standard ι",,,
απιστισας,απιστησας,η and ι,,,
απιστουσιν,απιστουσι,movable ν,,,
αποβαλλων,αποβαλων,λ gemination,,,
αποδεδιγμενον,αποδεδειγμενον,"nonstandard ι, standard ει",,,
αποδεδοκειμασμενον,αποδεδοκιμασμενον,"nonstandard ει, standard ι",,,
αποδεκατουται,αποδεκατουτε,"nonstandard αι, standard ε",,,
αποδημως,αποδημος,ο and ω,,,
αποδικνυντα,αποδεικνυντα,"nonstandard ι, standard ει",,,
αποδιξαι,αποδειξαι,"standard ει, nonstandard ι",,,
